"Timestamp","What is your gender?","What is your university?","What is your field of specialization?","Where do you live?","What is the monthly income of your family?","How many hours do you spend on e-learning per week?","Who is your internet service provider?","How about the internet connection? [Internet connection]","How many months are you studying through e-learning?","Lecturers' details in online sessions [Presentations were clear and organized]","Lecturers' details in online sessions [Stimulated student interest]","Lecturers' details in online sessions [Effectively used time during online lectures]","Lecturers' details in online sessions [Lecturer was available and helpful]","Course content in online sessions [Learning objectives were clear]","Course content in online sessions [Course content was organized and well planned]","Course content in online sessions [Course workload was appropriate]","Course content in online sessions [Course organized to allow all students to participate fully]","Level of practical knowledge you gain through e-learning","Level of satisfaction regarding engagement with extra curricular activities during e-learning process ( Eg : Gavel Club, AIESEC, Chess etc )? ","Level of satisfaction regarding interaction with batch mates during e-learning","Level of satisfaction regarding conducting online exams and assignments. (Eg : Internet connection loss, paper is not in the hand, background distraction, regarding facilities like web cameras )","Do you get enough time for the completion of online exams/assignments?","Do you get what you expect as an undergraduate through e-learning?","Are you comfortable with the process of the conduction of e-learning?","In overall how satisfied are you with the e-learning platform?","Do you prefer e-learning over traditional learning methods(being at university)?"
"2021/11/14 3:14:05 pm GMT+5:30","Female","University of Colombo","Arts & Humanities","Ratnapura","Between 20000 to 50000","Between 20 - 30 hours","Mobitel","Satisfactory","More than 12 months","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","3","3","4","3","Yes","No","No","4","Yes"
"2021/11/14 3:18:35 pm GMT+5:30","Male","University of Ruhuna","Engineering","Anuradhapura","Between 20000 to 50000","Between 30 - 40 hours","Hutch","Satisfactory","Between 6 - 12 months","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","1","1","1","1","No","No","No","2","No"
"2021/11/14 3:51:55 pm GMT+5:30","Male","University of Sri Jayewardenepura","Computing & IT","Matara","Less than 20000","Less than 20 hours","Dialog Axiata","Satisfactory","Less than 6 months","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Disagree","2","1","2","2","Yes","No","No","2","No"
"2021/11/14 4:28:01 pm GMT+5:30","Female","University of Peradeniya","Mathematics","Kandy","Between 50000 to 100000","Between 20 - 30 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","4","4","2","2","No","Yes","Yes","4","Yes"
"2021/11/14 4:30:31 pm GMT+5:30","Female","University of Moratuwa","Computing & IT","Galle","Between 50000 to 100000","Between 20 - 30 hours","Dialog Axiata","Satisfactory","More than 12 months","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","4","3","3","3","Yes","Yes","No","4","No"
"2021/11/14 4:45:34 pm GMT+5:30","Female","University of Moratuwa","Engineering","Galle","Between 100000 to 200000","Between 30 - 40 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","4","3","3","2","No","No","No","2","No"
"2021/11/14 4:49:42 pm GMT+5:30","Female","University of Kelaniya","Arts & Humanities","Galle","Between 20000 to 50000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","Less than 6 months","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","4","3","4","3","Yes","Yes","No","3","Yes"
"2021/11/14 4:52:11 pm GMT+5:30","Female","University of Peradeniya","Computing & IT","Galle","Between 100000 to 200000","More than 40 hours","Mobitel","Satisfactory","More than 12 months","Strongly disagree","Neutral","Strongly disagree","Agree","Agree","Neutral","Neutral","Agree","3","1","3","3","Yes","Yes","Yes","3","No"
"2021/11/14 5:04:05 pm GMT+5:30","Female","Sri Lanka Institute of Information Technology ( SLIIT )","Computing & IT","Galle","Between 50000 to 100000","More than 40 hours","Dialog Axiata","Poor","More than 12 months","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3","2","2","1","No","No","No","2","Yes"
"2021/11/14 5:10:44 pm GMT+5:30","Female","University of Moratuwa","Computing & IT","Colombo","Between 100000 to 200000","Less than 20 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","4","2","3","1","Yes","Yes","Yes","4","No"
"2021/11/14 5:14:39 pm GMT+5:30","Male","University of Moratuwa","Computing & IT","Gampaha","Between 100000 to 200000","Between 20 - 30 hours","Lanka Bell","Excellent","Between 6 - 12 months","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","2","2","2","2","Yes","Yes","Yes","3","Yes"
"2021/11/14 6:33:04 pm GMT+5:30","Female","University of Colombo","Computing & IT","Galle","Between 20000 to 50000","Less than 20 hours","Dialog Broadband Networks","Poor","More than 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","2","3","3","3","No","No","No","2","No"
"2021/11/14 6:37:04 pm GMT+5:30","Female","University of Sri Jayewardenepura","Computing & IT","Galle","Between 50000 to 100000","Between 30 - 40 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Agree","Neutral","4","2","3","2","Yes","Yes","Yes","3","No"
"2021/11/14 7:49:41 pm GMT+5:30","Male","Informatics Institute of Technology (IIT)","Computing & IT","Galle","Between 100000 to 200000","Between 30 - 40 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","3","3","2","2","No","No","No","3","No"
"2021/11/14 7:55:23 pm GMT+5:30","Female","University of Colombo","Computing & IT","Gampaha","Between 100000 to 200000","Between 20 - 30 hours","Mobitel","Poor","More than 12 months","Neutral","Strongly disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Strongly disagree","3","1","1","4","No","No","No","3","No"
"2021/11/14 8:14:48 pm GMT+5:30","Male","University of Sri Jayewardenepura","Computing & IT","Kegalle","Between 50000 to 100000","Between 30 - 40 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","5","1","1","3","No","Yes","Yes","4","Yes"
"2021/11/14 9:02:21 pm GMT+5:30","Female","University of Peradeniya","Computing & IT","Galle","Between 50000 to 100000","Between 30 - 40 hours","Dialog Axiata","Satisfactory","Between 6 - 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","4","3","3","2","Yes","Yes","Yes","2","No"
"2021/11/14 11:18:26 pm GMT+5:30","Female","Other","Engineering","Galle","Between 50000 to 100000","Between 20 - 30 hours","Dialog Axiata","Satisfactory","Less than 6 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","3","4","2","5","Yes","No","Yes","4","No"
"2021/11/15 12:10:02 am GMT+5:30","Female","University of Moratuwa","Computing & IT","Colombo","Less than 20000","Between 20 - 30 hours","Sri Lanka Telecom","Very good","More than 12 months","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","3","2","2","4","Yes","Yes","Yes","4","No"
"2021/11/15 3:03:33 pm GMT+5:30","Female","University of Peradeniya","Engineering","Kegalle","Between 100000 to 200000","Less than 20 hours","Dialog Broadband Networks","Poor","More than 12 months","Agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Agree","5","1","2","4","Yes","No","No","3","No"
